name_project,region,budget_project,city,is_multi_region,sectors_touched,all_sectors,n_sectors,status_en,area_sqm,start_year,start_date,end_date,duration_days,has_budget,is_at_risk
المركز الإداري بنمار – Administrative Centers Namar,Al-Riyadh,238642000.0,الرياض,False,['Government'],['Government'],1,Delayed,79461.0,2013.0,2013-02-23,2015-07-28,885.0,True,True
المركز الحضارى بالقريات,Al-Jouf,,القريات,False,['Leisure/Tourism'],"['Infrastructure', 'Leisure/Tourism']",1,Stalled,4000.0,,,2011-05-09,,False,True
المركز الحضارى – Cultural Centre,Eastern Region,55103493.0,حفر الباطن,False,"['Government', 'Leisure/Tourism']","['Government', 'Hospitality', 'Leisure/Tourism']",2,Under construction,913000.0,2014.0,2014-01-05,,,True,False
المركز الحضاري الجنوبي بمكة المكرمة,Makkah Al-Mokarramah,,مكة المكرمة,False,"['Commercial', 'Residential']","['Commercial', 'Hospitality', 'Infrastructure', 'Residential']",2,Announced,420000.0,,,,,False,False
المركز الحضاري الشرقي بمكة المكرمة,Makkah Al-Mokarramah,,مكة المكرمة,False,"['Commercial', 'Government', 'Health', 'Leisure/Tourism', 'Residential']","['Commercial', 'Government', 'Health', 'Hospitality', 'Infrastructure', 'Leisure/Tourism', 'Residential']",5,Announced,460000.0,,,,,False,False
المركز الحضرى بأبها,Aseer,130000000.0,أبها,False,"['Government', 'Leisure/Tourism']","['Government', 'Leisure/Tourism']",2,Under construction,500000.0,,,,,True,False
المركز الدولي للرعاية المتحدة – IEC,Makkah Al-Mokarramah,,جدة,False,['Health'],['Health'],1,Completed,7000.0,2009.0,2009-01-01,2012-01-01,1095.0,False,False
المركز السعودي لزراعة الأعضاء ومركز الملك سلمان لأمرا�...,Al-Riyadh,,الرياض,False,"['Government', 'Health']","['Government', 'Health']",2,Completed,12575.0,,,,,False,False
المركز الفرعي الشرقي بالرياض – Riyadh East Sub-Center,Al-Riyadh,30000000000.0,الرياض,False,['Government'],"['Government', 'Infrastructure']",1,Proposed,7500000.0,2012.0,2012-01-01,2027-12-31,5843.0,True,False
المركز الوطني لأبحاث السكري,Al-Riyadh,,الرياض,False,['Health'],['Health'],1,Announced,16000.0,,,,,False,False
المزاحمية آفنيو – MUZAHIMIYAH AVENUE,Al-Riyadh,,المزاحمية,False,['Commercial'],['Commercial'],1,Under construction,12150.0,,,,,False,False
المسبوكات – Almusbokat,Makkah Al-Mokarramah,55000000.0,جدة,False,['Industrial'],['Industrial'],1,Completed,20000.0,2012.0,2012-09-01,2017-12-31,1947.0,True,False
المستشفى التخصصي جازان –  Jizan Specialized Hospital,Jazan,719278164.0,جازان,False,"['Government', 'Health']","['Government', 'Health']",2,Under construction,366944.0,2012.0,2012-12-24,,,True,False
المستشفى الجامعي -جامعة جازان,Jazan,309000000.0,جازان,False,"['Education', 'Health']","['Education', 'Health']",2,Under construction,,2009.0,2009-02-11,,,True,False
المستشفى الجامعي – جامعة حائل – University Hospital – Hail...,Hail,303000000.0,حائل,False,['Government'],['Government'],1,Under construction,228000.0,2011.0,2011-01-06,,,True,False
المستشفى الجامعي – جامعة نجران – University Hospital – Na...,Najran,555000000.0,نجران,False,"['Government', 'Health']","['Government', 'Health']",2,Under construction,214000.0,2012.0,2012-07-01,,,True,False
المستشفى السعودى الألماني حائل – Saudi German Hospitals Hail,Hail,,,False,['Health'],['Health'],1,Completed,48000.0,2006.0,2006-07-01,2017-02-02,3869.0,False,False
المستشفى السعودي الألماني مكة المكرمة – Saudi German Hospital...,Makkah Al-Mokarramah,1500000000.0,مكة المكرمة,False,"['Commercial', 'Education', 'Health']","['Commercial', 'Education', 'Health']",3,Announced,58000.0,,,,,True,False
المستشفى القصيم الجامعي – Al Qassim University Hospital,Al-Qaseem,442484484.0,بريدة,False,"['Education', 'Government', 'Health']","['Education', 'Government', 'Health']",3,Delayed,48000.0,2011.0,2011-10-26,2015-04-08,1260.0,True,True
المسرة سكوير – Al-Massara Square,Makkah Al-Mokarramah,,جدة,False,['Commercial'],"['Commercial', 'Hospitality']",1,Under construction,8047.0,2017.0,2017-06-01,,,False,False
المشرق مول – Al Mashriq Mall,Eastern Region,,حفر الباطن,False,['Leisure/Tourism'],"['Commercial', 'Leisure/Tourism']",1,Completed,226200.0,2014.0,2014-02-01,2016-04-30,819.0,False,False
المصنع السعودي للفحم البترولي المكلس – Saudi Calcined Petroleu...,Eastern Region,1500000000.0,الجبيل الصناعية,False,['Industrial'],['Industrial'],1,Announced,250000.0,2019.0,2019-07-01,2021-12-31,914.0,True,False
المعهد السعودي التقني للطاقة والمياه – Saudi Technical Institu...,Makkah Al-Mokarramah,134000001.0,رابغ,False,"['Education', 'Government']","['Education', 'Government']",2,Under construction,150000.0,2015.0,2015-12-01,,,True,False
المعهد السعودي للتقنيات الألمانية – Saudi-German Institute for T...,Makkah Al-Mokarramah,150000000.0,جدة,False,"['Education', 'Government']","['Education', 'Government']",2,Under construction,74000.0,2012.0,2012-01-10,,,True,False
المعهد الصناعي الثانوي -محافظة الغزالة,Hail,32242388.0,الغزالة,False,"['Education', 'Government']","['Education', 'Government']",2,Under construction,,2015.0,2015-05-01,,,True,False
المعهد العلمي -حائل,Hail,10000000.0,حائل,False,['Education'],['Education'],1,Under construction,,2009.0,2009-05-01,,,True,False
المعهد الوطني للتدريب الصناعي – The National Industrial Training Ins...,Eastern Region,464221707.0,الأحساء,False,"['Education', 'Government']","['Education', 'Government']",2,Completed,365000.0,2012.0,2012-06-04,2015-06-10,1101.0,True,False
المغرزات بلازا – AL MUGHAREZAT PLAZA,Al-Riyadh,,الرياض,False,['Commercial'],['Commercial'],1,Completed,15000.0,2017.0,2017-01-01,2017-07-27,207.0,False,False
المقر –  Headquarte,Al-Riyadh,,الرياض,False,['Commercial'],['Commercial'],1,Under construction,3870.0,,,,,False,False
المكان بلازا الأفلاج,Al-Riyadh,,الأفلاج,False,['Commercial'],['Commercial'],1,Completed,11104.0,2015.0,2015-01-01,2015-10-15,287.0,False,False
المكان مول تبوك – Al Makan Mall Tabuk,Tabouk,,تبوك,False,['Leisure/Tourism'],"['Commercial', 'Leisure/Tourism']",1,Completed,21600.0,,,,,False,False
الملز مول,Al-Riyadh,,الرياض,False,['Leisure/Tourism'],"['Commercial', 'Leisure/Tourism']",1,Delayed,93562.0,,,2017-07-01,,False,True
الملقا وارف – Al-Malqa Wharf,Al-Riyadh,,الرياض,False,['Commercial'],"['Commercial', 'Hospitality']",1,Announced,4040.0,,,,,False,False
المناطق اللوجستية مدن 1 – Logistics Parks Modon 1,Makkah Al-Mokarramah,,جدة,False,['Industrial'],['Industrial'],1,Under construction,120000.0,2016.0,2016-03-01,,,False,False
المنتجعات الصحية والرياضية – Spas Proposal – KAFD,Al-Riyadh,,الرياض,False,"['Leisure/Tourism', 'Sports']","['Leisure/Tourism', 'Sports']",2,Proposed,18116.0,,,2018-02-15,,False,False
النادي الأدبي الثقافي -Literary Club of Hail,Hail,23500000.0,حائل,False,"['Government', 'Religious/Charity', 'Scientific']","['Government', 'Religious/Charity', 'Scientific']",3,Completed,10000.0,,,2016-04-12,,True,False
النايفة – Al-Nayfah,Al-Riyadh,,الرياض,False,"['Commercial', 'Residential']","['Commercial', 'Residential']",2,Under construction,119324.0,2015.0,2015-01-01,,,False,False
النخلة مول بريدة – Al Nakhla Mall Buraidah,Al-Qaseem,,بريدة,False,"['Commercial', 'Leisure/Tourism']","['Commercial', 'Leisure/Tourism']",2,Delayed,16000.0,,,2017-12-31,,False,True
النخيل بلازا – Nakheel Plaza,Makkah Al-Mokarramah,,الطائف,False,['Commercial'],"['Commercial', 'Hospitality']",1,Under construction,15252.0,2017.0,2017-03-01,,,False,False
النخيل مول الدمام – Al Nakheel Mall Dammam,Eastern Region,,الدمام,False,"['Commercial', 'Leisure/Tourism']","['Commercial', 'Leisure/Tourism']",2,Delayed,88143.0,2016.0,2016-11-01,2019-04-30,910.0,False,True
النخيل مول – الرياض,Al-Riyadh,,الرياض,False,['Leisure/Tourism'],"['Commercial', 'Leisure/Tourism']",1,Completed,93000.0,,,2014-02-03,,False,False
النرجس سكوير – Alnarjes Square,Al-Riyadh,,الرياض,False,['Commercial'],['Commercial'],1,Under construction,,,,,,False,False
الواجهة البحرية بالحمراء – Hamra Waterfront,Makkah Al-Mokarramah,950000000.0,جدة,False,"['Commercial', 'Leisure/Tourism']","['Commercial', 'Hospitality', 'Leisure/Tourism']",2,Under construction,332000.0,2014.0,2014-05-18,2020-01-01,2054.0,True,False
الواجهة البحرية لشاطيء الحريضة,Aseer,500000000.0,أبها,False,"['Government', 'Leisure/Tourism']","['Government', 'Infrastructure', 'Leisure/Tourism']",2,Under construction,2420000.0,,,,,True,False
الواحة 1 – Al Waha 1,Makkah Al-Mokarramah,313000000.0,مدينة الملك عبدالله الاقتصادية,False,['Residential'],['Residential'],1,Under construction,180000.0,2013.0,2013-11-01,,,True,False
الواحة مول  – Oasis Mall,Al-Qaseem,,الرس,False,['Leisure/Tourism'],['Leisure/Tourism'],1,Completed,100000.0,2013.0,2013-10-01,2016-06-02,975.0,False,False
الواحة مول الحمدانية – Oasis Mall Hamdaniya,Makkah Al-Mokarramah,,جدة,False,['Commercial'],['Commercial'],1,Delayed,28882.0,,,2019-03-01,,False,True
الوادي الصناعي – The Industrial Valley,Makkah Al-Mokarramah,,مدينة الملك عبدالله الاقتصادية,False,['Industrial'],['Industrial'],1,Under construction,26300000.0,2010.0,2010-01-01,2025-12-31,5843.0,False,False
الوادي بلازا – WADI PLAZA,Al-Riyadh,,وادي الدواسر,False,['Commercial'],['Commercial'],1,Completed,16000.0,,,2015-11-01,,False,False
الوادي سكوير,Al-Riyadh,,الرياض,False,['Commercial'],['Commercial'],1,Completed,4250.0,,,2016-03-01,,False,False
الياسمين بلازا,Al-Riyadh,,الرياض,False,['Commercial'],['Commercial'],1,Under construction,12780.0,,,,,False,False
الياسمين مول – Yasmin Mall,Makkah Al-Mokarramah,,جدة,False,"['Commercial', 'Leisure/Tourism']","['Commercial', 'Leisure/Tourism']",2,Completed,101672.0,2012.0,2012-06-01,2016-03-01,1369.0,False,False
اليرموك سنتر,Al-Riyadh,,الرياض,False,['Commercial'],['Commercial'],1,Completed,10067.0,,,,,False,False
اليمامة ثقافة بارك – Yamamah Culture Park,Al-Riyadh,,الرياض,False,"['Commercial', 'Leisure/Tourism']","['Commercial', 'Hospitality', 'Leisure/Tourism']",2,Under construction,,,,,,False,False
امتداد طريقي أبو بكر الصديق والعروبة عبر قاعدة الرياض �...,Al-Riyadh,1625709312.0,الرياض,False,['Government'],"['Government', 'Infrastructure']",1,Completed,,2009.0,2009-08-25,2013-05-08,1352.0,True,False
انيرجيا السعودية – Energya Cables Saudi Arabia,Makkah Al-Mokarramah,1000000000.0,رابغ,False,['Industrial'],['Industrial'],1,Completed,300000.0,,,2013-07-24,,True,False
اوبرا جدة – Jeddah Opera,Makkah Al-Mokarramah,,جدة,False,['Leisure/Tourism'],['Leisure/Tourism'],1,Announced,,,,,,False,False
ايكيا الثمامة – IKEA Thumama,Al-Riyadh,,الرياض,False,['Commercial'],['Commercial'],1,Announced,96000.0,,,,,False,False
بارك أفنيو – PARK AVENUE,Al-Qaseem,,بريدة,False,['Leisure/Tourism'],"['Commercial', 'Hospitality', 'Leisure/Tourism']",1,Under construction,74932.0,2017.0,2017-01-25,,,False,False
بارك إن باي راديسون الدمام المدينة الصناعية – Park Inn by...,Eastern Region,,الدمام,False,['Leisure/Tourism'],"['Commercial', 'Hospitality', 'Leisure/Tourism']",1,Completed,13000.0,2014.0,2014-07-01,2018-03-22,1360.0,False,False
بارك إن مدينة الملك عبد الله الاقتصادية – Park Inn by Radisso...,Makkah Al-Mokarramah,,مدينة الملك عبدالله الاقتصادية,False,['Commercial'],"['Commercial', 'Hospitality']",1,Announced,10000.0,,,2019-05-23,,False,False
بارك ان الدمام ويست أفينيو – Park Inn Dammam West Avenue,Eastern Region,,الدمام,False,['Commercial'],"['Commercial', 'Hospitality']",1,Under construction,8300.0,2017.0,2017-11-30,2019-12-31,761.0,False,False
بارك ان الرياض العليا – Park Inn Riyadh Olaya,Al-Riyadh,,الرياض,False,['Commercial'],"['Commercial', 'Hospitality']",1,Under construction,11000.0,2017.0,2017-11-01,,,False,False
بارك ان جدة – Park Inn Jeddah,Makkah Al-Mokarramah,,جدة,False,"['Commercial', 'Residential']","['Commercial', 'Hospitality', 'Residential']",2,Announced,20000.0,,,,,False,False
بافلينز – Pavilions,Al-Riyadh,,الدرعية,False,['Commercial'],['Commercial'],1,Completed,16000.0,2015.0,2015-01-01,2016-06-30,546.0,False,False
باك يارد – Back Yard,Al-Riyadh,,الرياض,False,['Commercial'],['Commercial'],1,Under construction,8479.0,,,,,False,False
بانوراما جدة – Panorama Jeddah,Makkah Al-Mokarramah,,جدة,False,"['Commercial', 'Residential']","['Commercial', 'Hospitality', 'Residential']",2,Announced,160000.0,2017.0,2017-12-31,2020-12-31,1096.0,False,False
بتروكيماويات بان آسيا – Pan Asia Petrochemicals,Jazan,14250000000.0,مدينة جازان للصناعات الاساسية والتحويلية,False,['Industrial'],['Industrial'],1,Announced,2460000.0,2018.0,2018-12-31,,,True,False
بحيرات الخبر – Khobar Lakes,Eastern Region,4600000000.0,الظهران,False,"['Education', 'Residential']","['Commercial', 'Education', 'Residential']",2,Under construction,2600000.0,2009.0,2009-06-01,,,True,False
بحيرة مدن في الدمام – Dammam lake – MODON,Eastern Region,129000000.0,الدمام,False,"['Government', 'Leisure/Tourism']","['Government', 'Leisure/Tourism']",2,Completed,400000.0,2013.0,2013-01-01,2014-01-15,379.0,True,False
برانده الدمام – Brandah Dammam,Eastern Region,5000000.0,الدمام,False,['Commercial'],['Commercial'],1,Under construction,9985.0,,,,,True,False
برج أدكس – ADEX Towers,Makkah Al-Mokarramah,,جدة,False,['Commercial'],['Commercial'],1,Completed,,2008.0,2008-07-01,2010-12-31,913.0,False,False
برج أدير السكني – Adeer Residential Tower,Eastern Region,,الخبر,False,['Residential'],['Residential'],1,Proposed,,,,,,False,False
برج أيكون – IKON Tower,Eastern Region,,الخبر,False,['Residential'],['Residential'],1,Announced,2500.0,,,,,False,False
برج إسكان قوات الامن بالمسجد الحرام,Makkah Al-Mokarramah,,مكة المكرمة,False,"['Government', 'Residential']","['Government', 'Residential']",2,Under construction,66500.0,,,,,False,False
برج الأندلس كراون – Al Andalus Crown Tower,Makkah Al-Mokarramah,,جدة,False,['Commercial'],['Commercial'],1,Completed,,2012.0,2012-09-30,2015-10-31,1126.0,False,False
برج الإدارات الرئيسية بجامعة الإمام عبد الرحمن بن فيصل...,Eastern Region,344000000.0,الدمام,False,"['Education', 'Government']","['Education', 'Government']",2,Delayed,20000.0,2015.0,2015-06-01,2018-06-01,1096.0,True,True
برج الانصاري – Ansari Tower,Eastern Region,150000000.0,الخبر,False,['Commercial'],['Commercial'],1,Announced,,,,,,True,False
برج الباحة – Al Baha Tower,Al-Baha,218000000.0,الباحة,False,"['Commercial', 'Residential']","['Commercial', 'Hospitality', 'Residential']",2,Announced,,,,,,True,False
برج البرغش – Al Barghash Tower,Eastern Region,,الخبر,False,['Commercial'],['Commercial'],1,Under construction,,2017.0,2017-07-01,,,False,False
برج التوحيد – Tawhed Tower,Makkah Al-Mokarramah,,جدة,False,['Commercial'],"['Commercial', 'Hospitality']",1,Under construction,,2015.0,2015-09-01,,,False,False
برج الجوهرة,Makkah Al-Mokarramah,,جدة,False,['Residential'],"['Commercial', 'Hospitality', 'Residential']",1,Completed,,2009.0,2009-11-09,2014-01-26,1539.0,False,False
برج الحقيط –  Hugayet Tower,Eastern Region,100000000.0,الخبر,False,['Commercial'],['Commercial'],1,Completed,8000.0,2005.0,2005-06-01,2009-09-01,1553.0,True,False
برج الخيال –  AlKhayyal Tower,Makkah Al-Mokarramah,,جدة,False,['Commercial'],['Commercial'],1,Completed,4971.0,2014.0,2014-10-01,2017-03-31,912.0,False,False
برج الخير – AlKhair Tower,Makkah Al-Mokarramah,,جدة,False,['Commercial'],['Commercial'],1,Completed,6700.0,2011.0,2011-05-01,2016-02-29,1765.0,False,False
برج الدايل – Al-Dailh Tower,Makkah Al-Mokarramah,120000000.0,جدة,False,['Commercial'],"['Commercial', 'Hospitality']",1,Under construction,3651.0,2019.0,2019-06-01,2022-03-31,1034.0,True,False
برج الرياض – Riyadh Tower,Al-Riyadh,,الرياض,False,['Residential'],"['Commercial', 'Hospitality', 'Residential']",1,Announced,37800.0,2018.0,2018-06-30,,,False,False
برج الزامل السكني (الأطلال),Al-Riyadh,,الرياض,False,['Residential'],"['Commercial', 'Residential']",1,Under construction,3650.0,,,,,False,False
برج الزاهد التجاري – Zahid Commercial Tower,Makkah Al-Mokarramah,,جدة,False,['Commercial'],['Commercial'],1,Proposed,,,,,,False,False
برج الزهراني – Zahrani Tower,Eastern Region,,الدمام,False,['Commercial'],"['Commercial', 'Hospitality']",1,Announced,2867.0,,,,,False,False
برج السبيعي – Al Subaii Tower,Eastern Region,,الخبر,False,['Commercial'],['Commercial'],1,Announced,,,,,,False,False
برج الشيخ يوسف محمد ناغي – Shikh Yousif Naghi Tower,Makkah Al-Mokarramah,,جدة,False,['Commercial'],['Commercial'],1,Under construction,,2014.0,2014-12-01,,,False,False
برج الظهران السكني,Eastern Region,300000000.0,الظهران,False,['Residential'],"['Commercial', 'Residential']",1,Completed,8400.0,2006.0,2006-07-01,2012-07-01,2192.0,True,False
برج العثمان الفندقي – Al Othman Tower,Al-Riyadh,,الرياض,False,['Commercial'],"['Commercial', 'Hospitality']",1,Delayed,7011.48,2016.0,2016-04-25,2017-10-04,527.0,False,True
برج العنود الأول – الرياض,Al-Riyadh,300000000.0,الرياض,False,['Religious/Charity'],"['Hospitality', 'Religious/Charity']",1,Completed,5000.0,2005.0,2005-04-16,2007-11-12,940.0,True,False
برج العيسائي – Al Esayi Tower,Makkah Al-Mokarramah,100000000.0,جدة,False,['Commercial'],['Commercial'],1,Stalled,1280.0,2007.0,2007-12-09,2014-12-31,2579.0,True,True
برج الغزاوي – Ghazzawi Tower,Eastern Region,,الخبر,False,"['Commercial', 'Residential']","['Commercial', 'Residential']",2,Announced,3700.0,,,,,False,False
برج الفواز – Alfawaz tower,Al-Riyadh,,الرياض,False,['Residential'],"['Hospitality', 'Residential']",1,Under construction,1800.0,,,,,False,False
برج الفيصلية,Al-Riyadh,950000000.0,الرياض,False,['Leisure/Tourism'],"['Commercial', 'Hospitality', 'Leisure/Tourism']",1,Completed,55000.0,1997.0,1997-01-01,2000-05-14,1229.0,True,False
برج الكورنيش – Corniche Tower,Makkah Al-Mokarramah,,جدة,False,['Residential'],['Residential'],1,Proposed,1800.0,,,,,False,False
برج المجلس – Almajlis Tower,Makkah Al-Mokarramah,,جدة,False,['Residential'],"['Commercial', 'Residential']",1,Proposed,,,,,,False,False
برج المخمل – Al Mukmal Tower,Makkah Al-Mokarramah,,جدة,False,['Commercial'],['Commercial'],1,Completed,,2008.0,2008-07-01,2010-12-31,913.0,False,False
برج المطلق – Al-Mutlaq Tower,Makkah Al-Mokarramah,,جدة,False,['Residential'],"['Hospitality', 'Residential']",1,Under construction,,2016.0,2016-01-01,,,False,False
برج المعرفة – مقر مدينة الملك عبدالعزيز للعلوم والت�...,Al-Riyadh,500000000.0,الرياض,False,['Government'],['Government'],1,Delayed,,2014.0,2014-01-01,2016-03-21,810.0,True,True
برج المملكة – الرياض,Al-Riyadh,1717000000.0,الرياض,False,"['Leisure/Tourism', 'Residential']","['Commercial', 'Hospitality', 'Leisure/Tourism', 'Residential']",2,Completed,94230.0,1996.0,1996-01-01,2002-12-31,2556.0,True,False
برج الميراج – Mirage Tower,Makkah Al-Mokarramah,,جدة,False,['Residential'],['Residential'],1,Announced,9790.0,,,,,False,False
برج الهدى بلازا – Huda Plaza Tower,Makkah Al-Mokarramah,,جدة,False,"['Commercial', 'Residential']","['Commercial', 'Residential']",2,Cancelled,3500.0,2005.0,2005-04-16,,,False,True
برج الهلال – Hilal Tower,Al-Riyadh,,الرياض,False,"['Commercial', 'Government', 'Residential']","['Commercial', 'Government', 'Residential']",3,Stalled,4869.0,2010.0,2010-06-01,,,False,True
برج الوصيل – Waseel Tower,Al-Riyadh,,الرياض,False,['Commercial'],['Commercial'],1,Completed,5820.0,2008.0,2008-01-01,2010-09-15,988.0,False,False
برج الياسمين – Yasmeen Tower,Al-Riyadh,75000001.0,الرياض,False,['Commercial'],['Commercial'],1,Proposed,3000.0,,,,,True,False
برج اليجانس‬ – Elegance Tower,Al-Riyadh,,الرياض,False,['Residential'],"['Commercial', 'Residential']",1,Under construction,5695.0,,,,,False,False
برج بن سلطان السكني – Bin Sultan Residence Tower,Eastern Region,,الخبر,False,['Residential'],"['Commercial', 'Residential']",1,Delayed,2000.0,2015.0,2015-03-01,2017-07-01,853.0,False,True
برج بنك ساب – SABB Bank Tower,Al-Riyadh,,الرياض,False,['Commercial'],['Commercial'],1,Under construction,55600.0,2018.0,2018-01-01,2020-01-01,730.0,False,False
برج تداول – Tadawul Tower,Al-Riyadh,1400000000.0,الرياض,False,['Government'],"['Commercial', 'Government']",1,Delayed,5166.0,,,2016-11-21,,True,True
برج جامعة جازان – Jazan University Tower,Jazan,214000000.0,جازان,False,['Government'],"['Commercial', 'Government']",1,Completed,,2012.0,2012-12-07,2017-02-23,1539.0,True,False
برج جدة – Jeddah Tower,Makkah Al-Mokarramah,4600000000.0,جدة,False,"['Leisure/Tourism', 'Residential']","['Commercial', 'Hospitality', 'Leisure/Tourism', 'Residential']",2,Under construction,530000.0,2013.0,2013-04-01,2020-12-31,2831.0,True,False
برج خزان المياه بتبوك – Water Tower Tabuk,Tabouk,49987907.0,تبوك,False,"['Government', 'Leisure/Tourism']","['Commercial', 'Government', 'Infrastructure', 'Leisure/Tourism']",2,Completed,65000.0,2003.0,2003-02-22,2011-04-01,2960.0,True,False
برج دلة البركة – Dallah Albaraka Tower,Makkah Al-Mokarramah,370000000.0,جدة,False,['Residential'],['Residential'],1,Proposed,6431.0,,,,,True,False
برج ذا بوس – The Boss Tower,Al-Riyadh,,الرياض,False,['Commercial'],['Commercial'],1,Under construction,2400.0,,,,,False,False
برج رؤيا المالية – Vision Capital Tower,Makkah Al-Mokarramah,150000000.0,جدة,False,['Commercial'],"['Commercial', 'Hospitality']",1,Announced,3563.0,,,,,True,False
برج رافال – Burj Rafal,Al-Riyadh,1850000000.0,الرياض,False,['Residential'],"['Commercial', 'Residential']",1,Completed,20000.0,2011.0,2011-01-01,2014-01-01,1096.0,True,False
برج رمله – Burj Ramla,Al-Riyadh,600000000.0,الرياض,False,['Residential'],"['Commercial', 'Residential']",1,Delayed,,2016.0,2016-03-01,2018-08-22,904.0,True,True
برج سايفكو السعودية,Makkah Al-Mokarramah,,جدة,False,['Residential'],['Residential'],1,Announced,,,,,,False,False
برج سكني الدمام – Residential Tower Dammam,Eastern Region,,الدمام,False,"['Commercial', 'Residential']","['Commercial', 'Residential']",2,Announced,,,,,,False,False
برج سماسكو – SMASCO Tower,Al-Riyadh,,الرياض,False,"['Commercial', 'Residential']","['Commercial', 'Residential']",2,Proposed,4100.0,,,,,False,False
برج سناسكو – SNASCO Tower ‏‏‏‏,Makkah Al-Mokarramah,,جدة,False,['Residential'],['Residential'],1,Proposed,,,,,,False,False
برج شركة المياه الوطنية – NWC Tower,Al-Riyadh,,الرياض,False,"['Commercial', 'Government']","['Commercial', 'Government']",2,Proposed,3750.0,,,,,False,False
برج عبدالهادي الحقيط في الخبر – Abdulhadi Al Hugayet Tower in Al Khob...,Eastern Region,250000000.0,الخبر,False,['Residential'],"['Commercial', 'Residential']",1,Delayed,2500.0,2015.0,2015-09-01,2018-09-01,1096.0,True,True
برج غرفة الشرقية الاستثماري – Asharqia Chamber Investment Tower,Eastern Region,335000000.0,الدمام,False,['Commercial'],['Commercial'],1,Under construction,7752.0,2019.0,2019-07-03,2021-12-31,912.0,True,False
برج فيلاز إن ذا سكاي – VILLAS IN THE SKY – KAFD,Al-Riyadh,,الرياض,False,"['Government', 'Residential']","['Commercial', 'Government', 'Residential']",2,Completed,41000.0,2009.0,2009-01-01,2013-12-31,1825.0,False,False
برج قوات أمن المسجد الحرام – Security forces of the Grand Mosque Tower...,Makkah Al-Mokarramah,,مكة المكرمة,False,['Government'],['Government'],1,Under construction,,2010.0,2010-03-01,,,False,False
برج كريستال تاور جدة – Burj Crystal Tower Jeddah,Makkah Al-Mokarramah,,جدة,False,['Commercial'],['Commercial'],1,Delayed,2200.0,2014.0,2014-05-01,2017-12-31,1340.0,False,True
برج لاجونا السكني الخبر – Lagona Residential Tower Al Khobar,Eastern Region,70000000.0,الخبر,False,['Residential'],"['Commercial', 'Residential']",1,Announced,3000.0,,,,,True,False
برج لمينا – Lamina Tower,Makkah Al-Mokarramah,,جدة,False,['Residential'],['Residential'],1,Under construction,4780.0,2019.0,2019-02-01,,,False,False
برج لو مداس – Le Mades Tower,Eastern Region,,الخبر,False,['Commercial'],['Commercial'],1,Under construction,,2016.0,2016-01-01,,,False,False
برج ماسك الكورنيش – Corniche MASIC Tower,Makkah Al-Mokarramah,700000000.0,جدة,False,['Residential'],"['Commercial', 'Hospitality', 'Residential']",1,Announced,42000.0,,,2019-12-31,,True,False
برج مستشفى الإيمان العام,Al-Riyadh,,الرياض,False,"['Government', 'Health']","['Government', 'Health']",2,Under construction,,,,,,False,False
برج مستشفى الملك فهد التخصصي ببريدة – KFSHB Tower,Al-Qaseem,79050159.0,بريدة,False,"['Government', 'Health']","['Government', 'Health']",2,Completed,15000.0,2009.0,2009-07-01,2014-01-01,1645.0,True,False
برج مقرنص – Muqarnas Tower,Al-Riyadh,,الرياض,False,"['Commercial', 'Government']","['Commercial', 'Government']",2,Stalled,,2009.0,2009-05-01,,,False,True
برج مكتبي طريق المدينة –  Madinah Road Office Tower,Makkah Al-Mokarramah,,جدة,False,['Commercial'],['Commercial'],1,Proposed,2500.0,,,,,False,False
برج مكتبي – Office Tower,Makkah Al-Mokarramah,,جدة,False,['Commercial'],['Commercial'],1,Announced,,,,,,False,False
برج منارة مكة – Manarah Makkah Tower,Makkah Al-Mokarramah,,مكة المكرمة,False,"['Commercial', 'Residential']","['Commercial', 'Hospitality', 'Residential']",2,Announced,74500.0,,,,,False,False
برج موزايك السكني في الخبر,Eastern Region,,الخبر,False,['Residential'],['Residential'],1,Announced,2200.0,,,,,False,False
برج مياه خميس مشيط,Aseer,102288760.0,خميس مشيط,False,"['Government', 'Leisure/Tourism']","['Government', 'Infrastructure', 'Leisure/Tourism']",2,Delayed,8000.0,,,2013-04-04,,True,True
برج مياه عرعر,Northern Borders,75000000.0,عرعر,False,['Government'],"['Government', 'Infrastructure']",1,Under construction,,2014.0,2014-08-14,,,True,False
برج ميروت – Mirot Tower,Eastern Region,,الخبر,False,['Residential'],['Residential'],1,Under construction,2704.0,2017.0,2017-01-01,,,False,False
برج ميم – M Tower,Makkah Al-Mokarramah,,جدة,False,['Commercial'],['Commercial'],1,Announced,,,,,,False,False
برج نابرك – NAPRC Tower,Makkah Al-Mokarramah,,جدة,False,['Commercial'],"['Commercial', 'Hospitality']",1,Proposed,,,,,,False,False
برج هرفي المكتبي,Al-Riyadh,,الرياض,False,['Commercial'],['Commercial'],1,Under construction,,,,,,False,False
برج هيئة السوق المالية – Capital Market Authority (CMA) Tower – KAFD...,Al-Riyadh,,الرياض,False,['Government'],"['Commercial', 'Government']",1,Delayed,185000.0,,,2016-11-24,,False,True
برج يوسف محمد ناغي – Yousef Muhammad Naghi Tower,Makkah Al-Mokarramah,45000000.0,جدة,False,['Commercial'],['Commercial'],1,Under construction,1500.0,2014.0,2014-02-01,,,True,False
